Filename,Filetype,Sample ID,Project,Data Collection,R24 ID,File URI,Checksum
pBICCNsMMrCBPRMiM006d190321c.mex.tar.gz,mex,pBICCNsMMrCBPRMiM006d190321c,huang_sn_10xv2_proj,huang_sn_10xv3,nemo:der-bcdod3s,https://assets.nemoarchive.org/der-bcdod3s,
pBICCNsMMrCBPRMiM006d190321c_S10_L001.fastq.tar,fastq,pBICCNsMMrCBPRMiM006d190321c,huang_sn_10xv2_proj,huang_sn_10xv3,nemo:seq-kygobhy,https://assets.nemoarchive.org/seq-kygobhy,
pBICCNsMMrCBPRMiM006d190321c_S10_L002.fastq.tar,fastq,pBICCNsMMrCBPRMiM006d190321c,huang_sn_10xv2_proj,huang_sn_10xv3,nemo:seq-dqa9zpg,https://assets.nemoarchive.org/seq-dqa9zpg,
pBICCNsMMrCBVliM006d190124.mex.tar.gz,mex,pBICCNsMMrCBVliM006d190124,huang_sn_10xv2_proj,huang_sn_10xv3,nemo:der-thg2frw,https://assets.nemoarchive.org/der-thg2frw,
pBICCNsMMrCBVliM006d190124_S3_L001.fastq.tar,fastq,pBICCNsMMrCBVliM006d190124,huang_sn_10xv2_proj,huang_sn_10xv3,nemo:seq-b3xmk8t,https://assets.nemoarchive.org/seq-b3xmk8t,
pBICCNsMMrCBVliM006d190124_S3_L002.fastq.tar,fastq,pBICCNsMMrCBVliM006d190124,huang_sn_10xv2_proj,huang_sn_10xv3,nemo:seq-9ek109b,https://assets.nemoarchive.org/seq-9ek109b,
pBICCNsMMrCBSIMiM002d190312d.mex.tar.gz,mex,pBICCNsMMrCBSIMiM002d190312d,huang_sn_10xv2_proj,huang_sn_10xv3,nemo:der-tmav7fr,https://assets.nemoarchive.org/der-tmav7fr,
pBICCNsMMrCBSIMiM002d190312d_S4_L001.fastq.tar,fastq,pBICCNsMMrCBSIMiM002d190312d,huang_sn_10xv2_proj,huang_sn_10xv3,nemo:seq-0kd90zc,https://assets.nemoarchive.org/seq-0kd90zc,
pBICCNsMMrCBVIiM002d190312d.mex.tar.gz,mex,pBICCNsMMrCBVIiM002d190312d,huang_sn_10xv2_proj,huang_sn_10xv3,nemo:der-03v5n4j,https://assets.nemoarchive.org/der-03v5n4j,
pBICCNsMMrCBVIiM002d190312d_S6_L002.fastq.tar,fastq,pBICCNsMMrCBVIiM002d190312d,huang_sn_10xv2_proj,huang_sn_10xv3,nemo:seq-zeehw6u,https://assets.nemoarchive.org/seq-zeehw6u,
pBICCNsMMrCBCOPiF002d190304a.mex.tar.gz,mex,pBICCNsMMrCBCOPiF002d190304a,huang_sn_10xv2_proj,huang_sn_10xv3,nemo:der-eyu6xdb,https://assets.nemoarchive.org/der-eyu6xdb,
pBICCNsMMrCBCOPiF002d190304a_S1_L001.fastq.tar,fastq,pBICCNsMMrCBCOPiF002d190304a,huang_sn_10xv2_proj,huang_sn_10xv3,nemo:seq-ztz12m7,https://assets.nemoarchive.org/seq-ztz12m7,
pBICCNsMMrCBVIIiM006d190313a.mex.tar.gz,mex,pBICCNsMMrCBVIIiM006d190313a,huang_sn_10xv2_proj,huang_sn_10xv3,nemo:der-j0v2x6b,https://assets.nemoarchive.org/der-j0v2x6b,
pBICCNsMMrCBVIIiM006d190313a_S5_L002.fastq.tar,fastq,pBICCNsMMrCBVIIiM006d190313a,huang_sn_10xv2_proj,huang_sn_10xv3,nemo:seq-tokptje,https://assets.nemoarchive.org/seq-tokptje,
pBICCNsMMrCBVIIiM006d190313a_S5_L001.fastq.tar,fastq,pBICCNsMMrCBVIIiM006d190313a,huang_sn_10xv2_proj,huang_sn_10xv3,nemo:seq-w9tuaia,https://assets.nemoarchive.org/seq-w9tuaia,
pBICCNsMMrCBCOPiM002d190312c.mex.tar.gz,mex,pBICCNsMMrCBCOPiM002d190312c,huang_sn_10xv2_proj,huang_sn_10xv3,nemo:der-ophoant,https://assets.nemoarchive.org/der-ophoant,
pBICCNsMMrCBCOPiM002d190312c_S9_L002.fastq.tar,fastq,pBICCNsMMrCBCOPiM002d190312c,huang_sn_10xv2_proj,huang_sn_10xv3,nemo:seq-uqkhgre,https://assets.nemoarchive.org/seq-uqkhgre,
