Filename,Filetype,Sample ID,Project,Data Collection,R24 ID,File URI,Checksum
CS15_midbrain.mex.tar.gz,mex,CS15_midbrain,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-5ht8ut7,https://assets.nemoarchive.org/der-5ht8ut7,467a699b49e45bd06b39249984e6a5d7
GW22T_PFC1.mex.tar.gz,mex,GW22T_PFC,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-453ktur,https://assets.nemoarchive.org/der-453ktur,
GW22T_PFC2.mex.tar.gz,mex,GW22T_PFC,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-580zcdn,https://assets.nemoarchive.org/der-580zcdn,
GW18_LGE.mex.tar.gz,mex,GW18_LGE,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-0azo8si,https://assets.nemoarchive.org/der-0azo8si,cd847c76b7f535f7ffab6250a659c364
GW20_dorsalthalamus.mex.tar.gz,mex,GW20_dorsal_thalamus,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-kpw5ut8,https://assets.nemoarchive.org/der-kpw5ut8,
GW19_MGE.mex.tar.gz,mex,GW19_MGE,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-bj8ztpm,https://assets.nemoarchive.org/der-bj8ztpm,c1b2b568663855f6c6e272c8c1fd18a6
GW22T_thalamus2.mex.tar.gz,mex,GW22T_thalamus,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-8zpgrqv,https://assets.nemoarchive.org/der-8zpgrqv,
GW22T_thalamus1.mex.tar.gz,mex,GW22T_thalamus,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-nmnongz,https://assets.nemoarchive.org/der-nmnongz,
GW18_motor.mex.tar.gz,mex,GW18_motor,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-8226zt1,https://assets.nemoarchive.org/der-8226zt1,59b75f549e65d7ed0cf9e4e073b01ed7
CS19_hindbrain.mex.tar.gz,mex,CS19_hindbrain,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-0ta6etq,https://assets.nemoarchive.org/der-0ta6etq,753f5f3c793113a2d21bb0420a183c01
CS22_Hypothalamus.mex.tar.gz,mex,CS22_hypothalamus,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-638n6kf,https://assets.nemoarchive.org/der-638n6kf,73d2f3005dba31008214d0d5dc5438d6
CS22_Occipital.mex.tar.gz,mex,CS22_Occipital,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-3ato3oa,https://assets.nemoarchive.org/der-3ato3oa,7e2f36a622bcfa3c5f5f65da327566d2
CS22_2_occipital.mex.tar.gz,mex,CS22_Occipital,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-vcx1jmm,https://assets.nemoarchive.org/der-vcx1jmm,56e3d418603545868741ec7ed9b002ef
GW20_hypothalamus.mex.tar.gz,mex,GW20_hypothalamus,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-qc273ce,https://assets.nemoarchive.org/der-qc273ce,
GW19_M1_CP.mex.tar.gz,mex,GW19_M1_CP,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-d2wwefd,https://assets.nemoarchive.org/der-d2wwefd,a7a21a4235c81e113fe9364348d274dd
GW20_preoptic.mex.tar.gz,mex,GW20_preoptic,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-nzoe6s6,https://assets.nemoarchive.org/der-nzoe6s6,
GW18_hypothalamus.mex.tar.gz,mex,GW18_hypothalamus,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-z4n1cec,https://assets.nemoarchive.org/der-z4n1cec,229fba4bb88362c18735471e6589a6dd
CS14_retina.mex.tar.gz,mex,CS14_retina,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-5zbktpr,https://assets.nemoarchive.org/der-5zbktpr,
CS22_2_PFC.mex.tar.gz,mex,CS22_PFC,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-y2v50pj,https://assets.nemoarchive.org/der-y2v50pj,aa37cf3347b5c73cc210b4f383c0691a
CS22_PFC.mex.tar.gz,mex,CS22_PFC,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-4ydbiij,https://assets.nemoarchive.org/der-4ydbiij,6275863ba12aab0ca3cfafe3f9ffe520
CS12_Diencephalon.mex.tar.gz,mex,CS12_Diencephalon,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-abzc9i6,https://assets.nemoarchive.org/der-abzc9i6,
CS19_thalamus.mex.tar.gz,mex,CS19_thalamus,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-fxjxwd0,https://assets.nemoarchive.org/der-fxjxwd0,d1bda316b2588f5a0cc8d94604bb80f4
CS12_Telencephalon.mex.tar.gz,mex,CS12_Telencephalon,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-3dsughk,https://assets.nemoarchive.org/der-3dsughk,
GW19_PFC_all.mex.tar.gz,mex,GW19_PFC_all,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-1gazav1,https://assets.nemoarchive.org/der-1gazav1,7f0e0002f2d4408844b646f7a6ba006a
CS13_hindbrain.mex.tar.gz,mex,CS13_hindbrain,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-e2iep1h,https://assets.nemoarchive.org/der-e2iep1h,
