Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV)
SW180517-04A,mouse,NCBI:txid10090,SW180517-04A,wt/wt,connectivity,retrograde tracing,SSp-ul:SSp-ll:SSp-ul:SSp-bfd,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved; merged projects,dong_retro_quad,SSp-ul:SSp-ll:SSp-ul:SSp-bfd
SW180611-01A,mouse,NCBI:txid10090,SW180611-01A,wt/wt,connectivity,retrograde tracing,CP,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved; merged projects,dong_retro_quad,CPi
SW180612-02A,mouse,NCBI:txid10090,SW180612-02A,wt/wt,connectivity,retrograde tracing,ORBl:PTLp:VISam:LH,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved; merged projects,dong_retro_quad,ORBi:PTLp:VISam:LH
SW180621-02A,mouse,NCBI:txid10090,SW180621-02A,wt/wt,connectivity,retrograde tracing,ORBl:MOs:CP:SMT,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved; merged projects,dong_retro_quad,ORBl:MOs:CPc:SMT
SW180621-03A,mouse,NCBI:txid10090,SW180621-03A,wt/wt,connectivity,retrograde tracing,CM:LPO:ACAd:ACAd,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved; merged projects,dong_retro_quad,CM:LPO:ACAd:ACAd
SW180628-01A,mouse,NCBI:txid10090,SW180628-01A,wt/wt,connectivity,retrograde tracing,PRNc:PRNc:CEAm,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved; merged projects,dong_retro_quad,PRNc:PRNc:CEAm
SW180716-02A,mouse,NCBI:txid10090,SW180716-02A,wt/wt,connectivity,retrograde tracing,TTd:NDB:NDB:LPO,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved; merged projects,dong_retro_quad,TTd:NDB:NDB(v):LPO
SW180716-03A,mouse,NCBI:txid10090,SW180716-03A,wt/wt,connectivity,retrograde tracing,RE:MDm:SMT:fail,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved; merged projects,dong_retro_quad,RE:MDm:SMT:fail
SW180716-04A,mouse,NCBI:txid10090,SW180716-04A,wt/wt,connectivity,retrograde tracing,RE:MDm:SMT:TTd,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved; merged projects,dong_retro_quad,RE:MDm:SMT:TTd
SW180725-02A,mouse,NCBI:txid10090,SW180725-02A,wt/wt,connectivity,retrograde tracing,LHA:VM:AMv:VM,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved; merged projects,dong_retro_quad,LHA:VM:AMv:VM
SW180725-03A,mouse,NCBI:txid10090,SW180725-03A,wt/wt,connectivity,retrograde tracing,VTA:PB:NDB:MA,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved; merged projects,dong_retro_quad,VTA:PBNle:NDB:MA
SW180727-01A,mouse,NCBI:txid10090,SW180727-01A,wt/wt,connectivity,retrograde tracing,ORBm:PL:DP;ILA:ACAd;PL,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved; merged projects,dong_retro_quad,ORBm:PL:DP/ILA:ACAd/PL
SW180925-01A,mouse,NCBI:txid10090,SW180925-01A,wt/wt,connectivity,retrograde tracing,LSc:LSc:BSTal:AAA,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved; merged projects,dong_retro_quad,LSc:LSc:BSTal:AAA
SW180925-02A,mouse,NCBI:txid10090,SW180925-02A,wt/wt,connectivity,retrograde tracing,cc:LSc:BSTfu:AAA,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved; merged projects,dong_retro_quad,cc:LSc:BSTfu:AAA
SW180925-03A,mouse,NCBI:txid10090,SW180925-03A,wt/wt,connectivity,retrograde tracing,VISam:CA1:fp:BSTov,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved; merged projects,dong_retro_quad,VISam:CA1:fp:BSTov
SW180925-04A,mouse,NCBI:txid10090,SW180925-04A,wt/wt,connectivity,retrograde tracing,CA1:CA1:SSp:BSTov,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved; merged projects,dong_retro_quad,CA1:CA1:SSp:BSTov
SW180926-01A,mouse,NCBI:txid10090,SW180926-01A,wt/wt,connectivity,retrograde tracing,PL:CP:CP:MEAad,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved; merged projects,dong_retro_quad,PL:CPcdm:CP:MEAad
SW180926-03A,mouse,NCBI:txid10090,SW180926-03A,wt/wt,connectivity,retrograde tracing,OT:OT:BSTov:NLOT,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved; merged projects,dong_retro_quad,mOT:mOT:BSTov:NLOT
SW180927-01A,mouse,NCBI:txid10090,SW180927-01A,wt/wt,connectivity,retrograde tracing,MRN:CP:ZI:SCs;SCm,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved; merged projects,dong_retro_quad,MRN:CP:ZI:SC
