Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV),Prior Sample ID
mouseID_377387_18466,mouse,NCBI:txid10090,377387,Slc6a4-CreERT2_EZ13/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_377387-18466,377387-18466,2020Q1,Updated in Q2,,,AIBS_732699751
mouseID_378667_18469,mouse,NCBI:txid10090,378667,Fezf2-CreER/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_378667-18469,378667-18469,2019Q3,Fezf2-CreER;Ai166-378667,,,AIBS_730865814
mouseID_378668_18470,mouse,NCBI:txid10090,378668,Fezf2-CreER/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt ,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_378668-18470,378668-18470,2019Q4,,,,AIBS_730866056
mouseID_380470_191812,mouse,NCBI:txid10090,380470,Plxnd1-CreER/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt ,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_380470-191812,380470-191812,2019Q4,,,,AIBS_998015827
mouseID_380471_191813,mouse,NCBI:txid10090,380471,Plxnd1-CreER/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt ,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_380471-191813,380471-191813,2019Q4,,,,AIBS_998016013
mouseID_381484_18457,mouse,NCBI:txid10090,381484,Vipr2-IRES2-Cre-neo/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_381484-18457,,2019Q1,,,,AIBS_732713516
mouseID_381487_18458,mouse,NCBI:txid10090,381487,Vipr2-IRES2-Cre-neo/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt ,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_381487-18458,381487-18458,2019Q4,,,,AIBS_732713933
mouseID_381488_18464,mouse,NCBI:txid10090,381488,Vipr2-IRES2-Cre-neo/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt ,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_381488-18464,381488-18464,2019Q4,,,,AIBS_732714203
mouseID_383128_18465,mouse,NCBI:txid10090,383128,Vipr2-IRES2-Cre-neo/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt ,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_383128-18465,383128-18465,2019Q4,,,,AIBS_732714302
mouseID_383680_18463,mouse,NCBI:txid10090,383680,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),cell morphology,fMOST,TH; STR,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_383680-18463,Tnnt1-IRES2-CreERT2;Ai82;Ai140_383680-18463,2019Q3,,,TH; STR,AIBS_732713168
mouseID_394528_18867,mouse,NCBI:txid10090,394528,Pvalb-T2A-CreERT2/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_394528-18867,394528-18867,2019Q3,Pvalb-T2A-CreERT2;Ai166-394528 ,,,AIBS_721171606
